ordernumber;instock;_additionaltext;_supplier;_price
10021014;45;;Primus;
1004.006;35;;Primus;
10133001;5;;Primus;
10133002;8;;Primus;
10133004;8;;Primus;
10133005;8;;Primus;
10133007;3;;Primus;
10133008;4;;Primus;
10133010;10;;Primus;
10161001;13;;Primus;
10161002;36;;Primus;
10161003;6;;Primus;
10161010;159;;Primus;
10163001;9;;Primus;
10163004;4;;Primus;
10169004;36;;Primus;
10169007;6;;Primus;
10173007;4;;Primus;
10173008;13;;Primus;
10181001;1;;Primus;
10181002;37;;Primus;
10181003;34;;Primus;
10181004;5;;Primus;
10181007;7;;Primus;
10181016;148;;Primus;
10181020;107;;Primus;
10189001;999999;;Primus;
10233006;2;;Primus;
10243001;6;;Primus;
10311001;16;;Primus;
10323001;76;;Primus;
10363001;1;;Primus;
1105.033;17;;Primus;
1105.034;3;;Primus;
1113.000;3;;Primus;
1113.003;8;;Primus;
1113.004;13;;Primus;
1113.005;12;;Primus;
1113.006;9;;Primus;
1113.007;25;;Primus;
1113.008;21;;Primus;
1113.009;14;;Primus;
1113.010;7;;Primus;
1113.011;20;;Primus;
1113.012;15;;Primus;
1113.016;13;;Primus;
1113.018;9;;Primus;
1113.019;10;;Primus;
1113.020;11;;Primus;
1113.021;5;;Primus;
1113.023;7;;Primus;
1113.024;1;;Primus;
1113.025;11;;Primus;
1113.026;6;;Primus;
1113.027;3;;Primus;
1113.028;9;;Primus;
1113.031;45;;Primus;
1113.032;2;;Primus;
1113.033;9;;Primus;
1113.036;18;;Primus;
1113.037;1;;Primus;
1113.038;1;;Primus;
1113.051;1;;Primus;
1113.052;1;;Primus;
1113.055;1;;Primus;
1115.000;14;;Primus;
1121.006;5;;Primus;
1121.009;3;;Primus;
1121.010;5;;Primus;
1121.012;1;;Primus;
1121.013;9;;Primus;
1121.014;13;;Primus;
1121.015;25;;Primus;
1121.016;3;;Primus;
1121.023;42;;Primus;
1121.025;61;;Primus;
1121.026;105;;Primus;
1122.005;1;;Primus;
1123.001;161;;Primus;
1123.003;204;;Primus;
1123.004;49;;Primus;
1123.006;1;;Primus;
1123.007;44;;Primus;
1123.008;317;;Primus;
1123.009;482;;Primus;
1123.010;488;;Primus;
1123.011;1;;Primus;
1123.013;13;;Primus;
1123.014;178;;Primus;
1123.019;3;;Primus;
1123.021;28;;Primus;
1123.022;94;;Primus;
1123.023;25;;Primus;
1123.024;2;;Primus;
1123.028;5;;Primus;
1123.031;1;;Primus;
1123.036;19;;Primus;
1123.038;2;;Primus;
1123.039;17;;Primus;
1123.040;21;;Primus;
1123.041;10;;Primus;
1123.057;8;;Primus;
1123.058;2;;Primus;
1123.060;1;;Primus;
1123.062;5;;Primus;
1123.092;3;;Primus;
1123.114;3;;Primus;
1125.009;88;;Primus;
1125.011;1;;Primus;
1125.017;48;;Primus;
1125.025;14;;Primus;
1131.000;5;;Primus;
1131.001;1;;Primus;
1131.002;1;;Primus;
1132.002;3;;Primus;
1143.000;4;;Primus;
1143.001;9;;Primus;
1143.002;7;;Primus;
1143.003;3;;Primus;
1143.004;7;;Primus;
1143.005;25;;Primus;
1143.006;28;;Primus;
1143.007;20;;Primus;
1143.008;16;;Primus;
1143.009;9;;Primus;
1143.010;12;;Primus;
1143.011;21;;Primus;
1143.013;16;;Primus;
1143.014;3;;Primus;
1143.015;5;;Primus;
1143.016;12;;Primus;
1143.017;15;;Primus;
1143.018;12;;Primus;
1143.019;13;;Primus;
1143.029;12;;Primus;
1163.001;1;;Primus;
1163.002;5;;Primus;
1163.004;1;;Primus;
1163.005;4;;Primus;
1163.007;5;;Primus;
1163.010;6;;Primus;
1163.012;6;;Primus;
1163.013;6;;Primus;
1163.014;9;;Primus;
1163.015;6;;Primus;
1163.016;6;;Primus;
1163.017;1;;Primus;
1163.019;4;;Primus;
1163.020;1;;Primus;
1163.027;1;;Primus;
1173.000;15;;Primus;
1173.001;23;;Primus;
1173.002;4;;Primus;
1173.003;22;;Primus;
1173.005;1;;Primus;
1173.006;2;;Primus;
1173.007;1;;Primus;
1173.010;3;;Primus;
1173.011;6;;Primus;
1173.012;13;;Primus;
1173.013;5;;Primus;
1173.014;1;;Primus;
1173.015;1;;Primus;
1173.016;4;;Primus;
1173.017;3;;Primus;
1173.018;1;;Primus;
1173.019;1;;Primus;
1173.020;1;;Primus;
1173.021;9;;Primus;
1173.022;2;;Primus;
1173.024;7;;Primus;
1173.025;7;;Primus;
1182.006;1;;Primus;
1182.012;5;;Primus;
1182.019;1;;Primus;
1192.002;3;;Primus;
1192.004;4;;Primus;
1192.008;1;;Primus;
1192.011;1;;Primus;
12011091;2;;Primus;
12011098;2;;Primus;
12011101;5;;Primus;
12011102;2;;Primus;
12011104;1;;Primus;
12011106;2;;Primus;
12011110;2;;Primus;
12011111;2;;Primus;
12012020;2;;Primus;
12021178;1;;Primus;
12021179;2;;Primus;
12021180;1;;Primus;
12021181;5;;Primus;
12021186;4;;Primus;
12021188;12;;Primus;
12021193;9;;Primus;
12021194;59;;Primus;
12021195;2;;Primus;
12021196;1;;Primus;
12021197;2;;Primus;
12021198;1;;Primus;
12021199;43;;Primus;
12021202;1;;Primus;
12021203;29;;Primus;
12021204;27;;Primus;
12021205;1;;Primus;
12021206;55;;Primus;
12021207;56;;Primus;
12021208;32;;Primus;
12021209;197;;Primus;
12022040;2;;Primus;
1203.000;4;;Primus;
1203.002;1;;Primus;
1203.004;2;;Primus;
1203.006;2;;Primus;
1203.007;1;;Primus;
1203.013;2;;Primus;
12041002;2;;Primus;
12062001;5;;Primus;
1222.003;6;;Primus;
12222011;13;;Primus;
1223.001;1;;Primus;
1223.002;2;;Primus;
1223.003;10;;Primus;
1223.007;1;;Primus;
1223.012;1;;Primus;
1223.013;1;;Primus;
1233.000;30;;Primus;
1233.001;106;;Primus;
1233.002;171;;Primus;
1233.003;176;;Primus;
1233.005;18;;Primus;
1233.006;1;;Primus;
1233.007;139;;Primus;
1233.008;149;;Primus;
1233.009;40;;Primus;
1233.010;99;;Primus;
1233.012;14;;Primus;
1233.013;90;;Primus;
1233.014;122;;Primus;
1233.015;80;;Primus;
1233.016;6;;Primus;
1233.017;36;;Primus;
1233.018;98;;Primus;
1233.019;75;;Primus;
1233.020;2;;Primus;
1233.021;72;;Primus;
1233.022;20;;Primus;
1233.024;22;;Primus;
1233.025;32;;Primus;
1233.027;10;;Primus;
1233.028;20;;Primus;
1233.029;45;;Primus;
1235.000;2;;Primus;
124.660;69;;Primus;
1243.000;34;;Primus;
1243.001;110;;Primus;
1243.002;15;;Primus;
1243.003;88;;Primus;
1243.004;234;;Primus;
1243.005;176;;Primus;
1243.006;173;;Primus;
1243.007;86;;Primus;
1243.008;276;;Primus;
1243.009;28;;Primus;
1243.010;22;;Primus;
1243.011;23;;Primus;
1243.012;9;;Primus;
1243.013;106;;Primus;
1243.014;50;;Primus;
1243.015;23;;Primus;
1243.016;88;;Primus;
1243.017;42;;Primus;
1243.031;1;;Primus;
125.774;4;;Primus;
1253.000;1;;Primus;
1253.001;6;;Primus;
1253.002;3;;Primus;
1253.004;4;;Primus;
1253.005;2;;Primus;
1253.006;16;;Primus;
1253.011;9;;Primus;
1253.016;1;;Primus;
1253.019;8;;Primus;
1253.020;2;;Primus;
1253.022;2;;Primus;
1255.000;17;;Primus;
1263.000;1;;Primus;
1263.001;5;;Primus;
1263.002;1;;Primus;
1263.003;19;;Primus;
1263.004;2;;Primus;
1263.005;9;;Primus;
1263.006;19;;Primus;
1263.007;11;;Primus;
1263.008;22;;Primus;
1263.009;8;;Primus;
1263.010;29;;Primus;
1263.011;8;;Primus;
1263.012;11;;Primus;
1263.013;14;;Primus;
1263.014;17;;Primus;
1263.015;15;;Primus;
1263.016;3;;Primus;
1263.017;2;;Primus;
1263.018;4;;Primus;
1263.019;18;;Primus;
1263.020;10;;Primus;
1263.021;16;;Primus;
1263.022;7;;Primus;
1263.023;9;;Primus;
1263.024;1;;Primus;
1263.025;5;;Primus;
1263.026;7;;Primus;
1263.027;9;;Primus;
1263.028;17;;Primus;
1263.029;8;;Primus;
1263.030;12;;Primus;
1263.031;22;;Primus;
1263.032;24;;Primus;
1263.033;4;;Primus;
1263.035;1;;Primus;
1263.036;10;;Primus;
1263.038;3;;Primus;
1263.039;2;;Primus;
1263.040;9;;Primus;
1263.041;13;;Primus;
1263.042;8;;Primus;
1263.043;4;;Primus;
1263.045;1;;Primus;
1263.046;5;;Primus;
1263.047;6;;Primus;
1263.048;1;;Primus;
1263.049;2;;Primus;
1263.050;15;;Primus;
1265.000;5;;Primus;
127.132;93;;Primus;
127.388;1;;Primus;
127.510;2;;Primus;
1271.003;8;;Primus;
1271.004;2;;Primus;
1271.005;3;;Primus;
1271.006;2;;Primus;
1271.007;14;;Primus;
1271.008;16;;Primus;
1271.010;5;;Primus;
1271.011;4;;Primus;
1272.001;3;;Primus;
1272.004;1;;Primus;
1273.003;1;;Primus;
1273.004;29;;Primus;
1273.005;13;;Primus;
1273.006;3;;Primus;
1273.007;3;;Primus;
1273.009;67;;Primus;
1273.010;10;;Primus;
1273.013;1;;Primus;
1273.015;25;;Primus;
1273.017;2;;Primus;
1273.018;1;;Primus;
1273.026;2;;Primus;
1273.027;1;;Primus;
1273.029;17;;Primus;
1273.033;13;;Primus;
1273.037;3;;Primus;
1273.038;33;;Primus;
1273.039;1;;Primus;
1273.040;5;;Primus;
1273.041;40;;Primus;
1273.044;1;;Primus;
