ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;from_EK;to_EK;price_H;pseudoprice_H;baseprice_H;from_H;to_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;propertyGroupName;propertyValueName;accessory;imageUrl;main;attr1;attr2;attr3;purchasePrice;metatitle10173008;10173008;"Andorra Eurosatz gemischte Jahrgänge";;Primus;0;69.95;0.00;;;;;;;;;1;;1;;"<H2>Andorra - Eurosatz gemischt </H2> <P>Das Euroland Andorra gehört neben San Marino, dem Vatikan und dem Fürstentum Monaco zu den Euro-Kleinstaaten, deren Münzen lediglich in streng limitierten Auflagen erscheinen. Naturgemäß erfreuen sie sich bei Sammlern aufgrund ihrer Seltenheit äußerster Beliebtheit. Diese beiden Faktoren, große Nachfrage und Seltenheit, führen immer wieder zu Höchstpreisen auf dem Sammlermarkt.</P> <P>&nbsp;<BR></P> <UL> <LI><STRONG>Andorra 1 Cent bis 2 Euro! </STRONG></LI> <LI><STRONG>Bankfrisch, gemischte Jahrgänge!</STRONG></LI> <LI><STRONG>Aus Lagerübernahme!</STRONG></LI> <LI><STRONG>Begrenztes Kontingent!</STRONG></LI></UL><BR> <H3>Ein echtes Highlight für jeden Münzliebhaber! </H3><BR> <P><STRONG>Hinweis:</STRONG> gemischte Jahrgänge</P>";;;;;0;0;;;;;;;;;;;;;118.5;15,5;;;;;;;;;Münzen;"Land:Andorra|Nominal:1 Cent bis 2 Euro|Jahr:gemischte Jahrgänge|Erhaltung:bankfrisch, lose|Material:|Gewicht / Füllmenge:8 Münzen|Maße:|Auflage:|Veredelung:|Nominal:1 Cent bis 2 Euro";;;;;;;;;;;;;;;;;;;;
10181001;10181001;"Andorra 2014 st offizieller Kursmünzensatz";;Primus;19;349.00;0.00;;;;;;;;;1;;1;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;Münzen;"Land:Andorra|Nominal:1 Cent bis 2 Euro|Jahr:2014|Erhaltung:Stempelglanz, im Blister|Material:|Gewicht / Füllmenge:|Maße:|Auflage:|Veredelung:|Nominal:1 Cent bis 2 Euro";;;;;;;;;;;;;;;;;;;;
10181004;10181004;"Andorra Pyrenäen Satz 2014 inkl. Vor-und Euromünzen im Blister";;Primus;19;398.00;0.00;;;;;;;;;1;;1;;;;;;;0;0;;;;;;;;;;;;;193.82;0;;;;;;;;;Münzen;"Land:|Nominal:1 Cent bis 2 Euro & 1 Cent bis 1 Diner|Jahr:2013/2014|Erhaltung:je bankfrisch, im Folder|Material:|Gewicht / Füllmenge:15 Münzen|Maße:|Auflage:1.750|Veredelung:|Nominal:1 Cent bis 2 Euro & 1 Cent bis 1 Diner";;;;;;;;;;;;;;;;;;;;
10233002;10233002;"Andorra 1 Diners 2012 PL Robin PrismaTechnik CuNi 27g";;Primus;19;24.80;0.00;;;;;;;;;1;;1;;;;;;;0;0;;;;;;;;;;;;;30;0;;;;;;;;;Münzen;"Land:Andorra|Nominal:1 Diner|Jahr:2012|Erhaltung:Prooflike|Material:CuNi|Gewicht / Füllmenge:27 g|Maße:Ø 38,61 mm|Auflage:2.500|Veredelung:|Nominal:1 Diner";;;;;;;;;;;;;;;;;;;;
1105.032;1105.032;"Altdeutschland Set-Plus-Angebot";;Primus;0;79.00;0.00;;;;;;;;;1;;1;;"<H2>Altdeutschland-Set </H2> <P>Die altdeutschen Briefmarkenausgaben sind weltweit sicher einzigartig: Durch die schiere Vielzahl der damals auf deutschem Boden - mehr oder weniger gleichberechtigt - existierender Herzögtümer, Fürstentümer und Königreiche, bildete sich Mitte des 19. Jahrhunderts eine beeindruckende Markenlandschaft heraus.</P> <P><BR>&nbsp;</P> <UL> <LI><STRONG>Ein Spitzen-Sortiment mit 230 verschiedenen Marken Altdeutschlands! </STRONG></LI> <LI><STRONG>100 Bayern + 100 Württemberg + 30 verschiedene Kreuzer- und Groschen-Werte! </STRONG></LI> <LI><STRONG>Riesiger Katalogwert! </STRONG></LI></UL><BR> <H3>Sichern Sie sich jetzt das ultimative Set zum Top-Preis! </H3><BR> <P><STRONG>Hinweis: </STRONG>Beispielabbildung</P>";;;;;0;0;;;;;;;;;;;;;15;0;;;;;;;;;Briefmarken;"Land:Altdeutschland|Jahr:|Erhaltung:|Material:|Gewicht/Füllmenge:230 verschiedene Werte|Veredelung:|Michel-Nr.:|Michel Kat.-Wert.:";;;;;;;;;;;;;;;;;;;;
1105.039;1105.039;"Altdeutschland Lot Kabinett verschiedene Groschen und Kreuzer Werte";;Primus;0;9.50;25.00;;;;;;;;;1;;1;;"<H2>Altdeutschland Kabinett </H2> <P>Die altdeutschen Briefmarkenausgaben sind weltweit sicher einzigartig: Durch die schiere Vielzahl der damals auf deutschem Boden - mehr oder weniger gleichberechtigt - existierender Herzogtümer, Fürstentümer und Königreiche, bildete sich Mitte des 19. Jahrhunderts eine beeindruckende Markenlandschaft heraus.</P> <P>&nbsp;<BR></P> <UL> <LI><STRONG>Nur verschiedene ""Groschen/Kreuzer""! </STRONG></LI> <LI><STRONG>Leichte Mängel! </STRONG></LI> <LI><STRONG>Gestempelt! </STRONG></LI> <LI><STRONG>Michelwert: ca. 100,-!</STRONG></LI></UL><BR> <H3>Ein beliebtes Sammelgebiet! </H3><BR> <P><STRONG>Hinweis:</STRONG> Beispielabbildung</P>";;;;;0;0;;;;;;;;;;;;;10;11,2;;;;;;;;;Briefmarken;"Land:Altdeutschland|Jahr:|Erhaltung:gestempelt|Material:|Gewicht/Füllmenge:|Veredelung:|Michel-Nr.:ca. 100 Euro|Michel Kat.-Wert.:";;;;;;;;;;;;;;;;;;;;
1121.023;1121.023;"Deutsches Reich Bayern Michel-Nr. 16, 17 und 22 x Dienstmarken postfrisch";;Primus;0;9.50;15.00;;;;;;;;;1;;1;;"<H2>Bayern Dienstmarken </H2> <P>Die zwischen 1872 und 1945 erschienenen Briefmarkenausgaben sind der unangefochtene Klassiker unter den deutschen Sammelgebieten. Historisch bedeutend und äußerst gefragt.</P> <P>&nbsp;<BR></P> <UL> <LI><STRONG>Michel-Nr. D 16, 17 und 22! </STRONG></LI> <LI><STRONG>Je auf x-Papier! </STRONG></LI> <LI><STRONG>Postfrisch, geprüft BPP! </STRONG></LI> <LI><STRONG>Michelwert: Euro 35,-! </STRONG></LI></UL><BR> <H3>Ein beliebtes Sammelgebiet! </H3><BR> <P><STRONG>Hinweis:</STRONG> Beispielabbildung</P>";;;;;0;0;;;;;;;;;;;;;5;0;;;;;;;;;Briefmarken;"Land:Deutsches Reich|Jahr:|Erhaltung:posfrisch|Material:|Gewicht/Füllmenge:3 Marken|Veredelung:geprüft BPP|Michel-Nr.:35 Euro|Michel Kat.-Wert.:";;;;;;;;;;;;;;;;;;;;
1123.044;1123.044;"Altdeutschland Bayern Portomarken 1876 Michel Nr. P4/6 gestempelt";;Primus;0;39.00;0.00;;;;;;;;;1;;1;;"<H2>Altdeutschland- Bayern Portomarken 1876</H2> <UL> <LI><STRONG>Michel Nr. P 4/6</STRONG></LI> <LI><STRONG>Gestempelt</STRONG></LI></UL> <H3>Jetzt preiswert Lücken schließen! </H3> <P><STRONG>Hinweis:</STRONG> Beispielabbildung</P>";;;;;0;0;;;;;;;;;;;;;10;0;;;;;;;;;Briefmarken;"Land:Altdeutschland Bayern|Jahr:1876|Erhaltung:gestempelt|Material:|Gewicht/Füllmenge:|Veredelung:|Michel-Nr.:|Michel Kat.-Wert.:";;;;;;;;;;;;;;;;;;;;
1123.045;1123.045;"Bayern Portomarken 1888 Michel Nr. P10/12 gestempelt";;Primus;0;5.90;0.00;;;;;;;;;1;;1;;"<H2>Altdeutschland- Bayern Portomarken 1888</H2> <UL> <LI><STRONG>Michel Nr. P 10/12</STRONG></LI> <LI><STRONG>Gestempelt</STRONG></LI></UL> <H3>Jetzt preiswert Lücken schließen! </H3> <P><STRONG>Hinweis:</STRONG> Beispielabbildung</P>";;;;;0;0;;;;;;;;;;;;;10;0;;;;;;;;;Briefmarken;"Land:Altdeutschland Bayern|Jahr:1888|Erhaltung:gestempelt|Material:|Gewicht/Füllmenge:|Veredelung:|Michel-Nr.:|Michel Kat.-Wert.:";;;;;;;;;;;;;;;;;;;;
1123.057;1123.057;"Bayern Michel-Nr. 116/135 gestempelt König Ludwig III. 1920";;Primus;0;133.00;349.00;;;;;;;;;1;;1;;"<H2>König Ludwig III. 1920 </H2> <P>Die altdeutschen Briefmarkenausgaben sind weltweit sicher einzigartig: Durch die schiere Vielzahl der damals auf deutschem Boden - mehr oder weniger gleichberechtigt - existierender Herzögtümer, Fürstentümer und Königreiche, bildete sich Mitte des 19. Jahrhunderts eine beeindruckende Markenlandschaft heraus. </P> <P><BR>&nbsp;</P> <UL> <LI><STRONG>Bayern Michel-Nr. 116/135 B! </STRONG></LI> <LI><STRONG>Gestempelt! </STRONG></LI> <LI><STRONG>Seltene geschnittene Ludwigsserie! </STRONG></LI> <LI><STRONG>Michelwert: Euro 800,-! </STRONG></LI></UL><BR> <H3>Sichern Sie sich jetzt die seltene geschnittene Ludwigsserie! </H3><BR> <P><STRONG>Hinweis: </STRONG>Beispielabbildung</P>";;;;;0;0;;;;;;;;;;;;;9.4;15,5;;;;;;;;;Briefmarken;"Land:Altdeutschland|Jahr:1920|Erhaltung:gestempelt|Material:|Gewicht/Füllmenge:|Veredelung:|Michel-Nr.:800 Euro|Michel Kat.-Wert.:";;;;;;;;;;;;;;;;;;;;
1123.058;1123.058;"Bayern Michel-Nr. 152/170 gestempelt Freistaat Bayern";;Primus;0;104.00;279.00;;;;;;;;;1;;1;;"<H2>König Ludwig III. 1920 </H2> <P>Die altdeutschen Briefmarkenausgaben sind weltweit sicher einzigartig: Durch die schiere Vielzahl der damals auf deutschem Boden - mehr oder weniger gleichberechtigt - existierender Herzögtümer, Fürstentümer und Königreiche, bildete sich Mitte des 19. Jahrhunderts eine beeindruckende Markenlandschaft heraus.</P> <P>&nbsp;<BR></P> <UL> <LI><STRONG>Bayern Michel-Nr. 152/170 B! </STRONG></LI> <LI><STRONG>Gestempelt! </STRONG></LI> <LI><STRONG>Seltene geschnittene Ludwigsserie! </STRONG></LI> <LI><STRONG>Michelwert: Euro 600,-! </STRONG></LI></UL><BR> <H3>Sichern Sie sich jetzt die seltene geschnittene Ludwigsserie! </H3><BR> <P><STRONG>Hinweis: </STRONG>Beispielabbildung</P>";;;;;0;0;;;;;;;;;;;;;11.2;15,5;;;;;;;;;Briefmarken;"Land:Altdeutschland|Jahr:1920|Erhaltung:gestempelt|Material:|Gewicht/Füllmenge:|Veredelung:|Michel-Nr.:600 Euro|Michel Kat.-Wert.:";;;;;;;;;;;;;;;;;;;;
